"","ORIGIN_AIRPORT_ID","ORIGIN","name"
"245",13983,"OWB","Owensboro Daviess County Regional"
"246",14006,"PAH","Barkley Regional"
"247",14025,"PBG","Plattsburgh International"
"248",14027,"PBI","Palm Beach International"
"249",14057,"PDX","Portland International"
"250",14082,"PGD","Punta Gorda Airport"
"251",14098,"PHF","Newport News/Williamsburg International"
"252",14100,"PHL","Philadelphia International"
"253",14107,"PHX","Phoenix Sky Harbor International"
"254",14108,"PIA","General Downing - Peoria International"
"255",14109,"PIB","Hattiesburg-Laurel Regional"
"256",14112,"PIE","St Pete Clearwater International"
"257",14113,"PIH","Pocatello Regional"
"258",14122,"PIT","Pittsburgh International"
"259",14150,"PLN","Pellston Regional Airport of Emmet County"
"260",14193,"PNS","Pensacola International"
"261",14222,"PPG","Pago Pago International"
"262",14237,"PRC","Prescott Regional Ernest A Love Field"
"263",14252,"PSC","Tri Cities"
"264",14254,"PSE","Mercedita"
"265",14256,"PSG","Petersburg James A Johnson"
"266",14259,"PSM","Portsmouth International at Pease"
"267",14262,"PSP","Palm Springs International"
"268",14288,"PUB","Pueblo Memorial"
"269",14307,"PVD","Theodore Francis Green State"
"270",14314,"PVU","Provo Municipal"
"271",14321,"PWM","Portland International Jetport"
"272",14457,"RAP","Rapid City Regional"
"273",14487,"RDD","Redding Municipal"
"274",14489,"RDM","Roberts Field"
"275",14492,"RDU","Raleigh-Durham International"
"276",14512,"RFD","Chicago/Rockford International"
"277",14520,"RHI","Rhinelander/Oneida County"
"278",14524,"RIC","Richmond International"
"279",14543,"RKS","Southwest Wyoming Regional"
"280",14570,"RNO","Reno/Tahoe International"
"281",14574,"ROA","Roanoke Blacksburg Regional Woodrum Field"
"282",14576,"ROC","Greater Rochester International"
"283",14588,"ROW","Roswell International Air Center"
"284",14633,"RST","Rochester International"
"285",14635,"RSW","Southwest Florida International"
"286",14674,"SAF","Santa Fe Municipal"
"287",14679,"SAN","San Diego International"
"288",14683,"SAT","San Antonio International"
"289",14685,"SAV","Savannah/Hilton Head International"
"290",14689,"SBA","Santa Barbara Municipal"
"291",14696,"SBN","South Bend International"
"292",14698,"SBP","San Luis County Regional"
"293",14709,"SCC","Deadhorse Airport"
"294",14711,"SCE","University Park"
"295",14716,"SCK","Stockton Metropolitan"
"296",14730,"SDF","Louisville Muhammad Ali International"
"297",14747,"SEA","Seattle/Tacoma International"
"298",14761,"SFB","Orlando Sanford International"
"299",14771,"SFO","San Francisco International"
"300",14783,"SGF","Springfield-Branson National"
"301",14794,"SGU","St George Regional"
"302",14802,"SHD","Shenandoah Valley Regional"
"303",14814,"SHV","Shreveport Regional"
"304",14828,"SIT","Sitka Rocky Gutierrez"
"305",14831,"SJC","Norman Y. Mineta San Jose International"
"306",14842,"SJT","San Angelo Regional/Mathis Field"
"307",14843,"SJU","Luis Munoz Marin International"
"308",14869,"SLC","Salt Lake City International"
"309",14877,"SLN","Salina Regional"
"310",14893,"SMF","Sacramento International"
"311",14905,"SMX","Santa Maria Public/Capt. G. Allan Hancock Field"
"312",14908,"SNA","John Wayne Airport-Orange County"
"313",14952,"SPI","Abraham Lincoln Capital"
"314",14955,"SPN","Francisco C. Ada Saipan International"
"315",14960,"SPS","Sheppard AFB/Wichita Falls Municipal"
"316",14986,"SRQ","Sarasota/Bradenton International"
"317",15008,"STC","St. Cloud Regional"
"318",15016,"STL","St Louis Lambert International"
"319",15023,"STS","Charles M. Schulz - Sonoma County"
"320",15024,"STT","Cyril E King"
"321",15027,"STX","Henry E. Rohlsen"
"322",15041,"SUN","Friedman Memorial"
"323",15048,"SUX","Sioux Gateway Brig Gen Bud Day Field"
"324",15070,"SWF","New York Stewart International"
"325",15074,"SWO","Stillwater Regional"
"326",15096,"SYR","Syracuse Hancock International"
"327",15249,"TLH","Tallahassee International"
"328",15295,"TOL","Toledo Express"
"329",15304,"TPA","Tampa International"
"330",15323,"TRI","Tri Cities"
"331",15356,"TTN","Trenton Mercer"
"332",15370,"TUL","Tulsa International"
"333",15376,"TUS","Tucson International"
"334",15380,"TVC","Cherry Capital"
"335",15389,"TWF","Joslin Field - Magic Valley Regional"
"336",15401,"TXK","Texarkana Regional-Webb Field"
"337",15411,"TYR","Tyler Pounds Regional"
"338",15412,"TYS","McGhee Tyson"
"339",15454,"UIN","Quincy Regional-Baldwin Field"
"340",15582,"VEL","Vernal Regional"
"341",15607,"VLD","Valdosta Regional"
"342",15624,"VPS","Eglin AFB Destin Fort Walton Beach"
"343",15841,"WRG","Wrangell Airport"
"344",15919,"XNA","Northwest Arkansas Regional"
"345",15991,"YAK","Yakutat Airport"
"346",16218,"YUM","Yuma MCAS/Yuma International"
