"AIRPORT_ID","LATITUDE","LONGITUDE",
10129,44.90000000,37.31666667,
10129,45.00222222,37.34722222,
10129,45.00222222,37.34722222,
10129,45.00222222,37.34722222,
10130,56.31027778,10.61805556,
10130,56.30388889,10.62000000,
10130,56.30000000,10.61888889,
10131,-13.51666667,-172.65000000,
10132,-19.56805556,-46.92916667,
10132,-19.56333333,-46.96027778,
10132,-19.56333333,-46.96027778,
10134,30.36611111,48.23222222,
10134,30.36611111,48.23222222,
10134,30.36527778,48.23305556,
10135,40.65472222,-75.43833333,
10135,40.65222222,-75.44027778,
10135,40.65222222,-75.44055556,
10135,40.65222222,-75.44027778,
10135,40.65222222,-75.44055556,
10136,32.40944444,-99.67972222,
10136,32.41111111,-99.68166667,
10136,32.41138889,-99.68194444,
10137,5.25555556,-3.92916667,
10137,5.26138889,-3.92583333,
10137,5.26138889,-3.92583333,
10137,5.26138889,-3.92583333,
10137,5.26138889,-3.92583333,
10137,5.26138889,-3.92583333,
10138,6.73388889,44.26611111,
10138,6.73277778,44.24166667,
10138,6.73277778,44.24138889,
10138,6.73277778,44.24166667,
10138,6.73277778,44.24138889,
10139,67.08750000,-157.84583333,
10140,35.04166667,-106.60638889,
10140,35.04027778,-106.60916667,
10140,35.03888889,-106.60833333,
10140,35.04027778,-106.60916667,
10140,35.03888889,-106.60833333,
10141,45.44972222,-98.42166667,
10141,45.44916667,-98.42194444,
10141,45.44833333,-98.42250000,
10141,45.44666667,-98.42250000,
10141,45.44916667,-98.42194444,
10141,45.44666667,-98.42250000,
10142,22.37222222,31.61527778,
10142,22.37472222,31.60944444,
10142,22.37583333,31.61166667,
10142,22.37472222,31.60944444,
10142,22.37583333,31.61166667,
10143,20.29611111,41.63416667,
10143,20.29611111,41.63416667,
10143,20.29611111,41.63416667,
10143,20.29611111,41.63416667,
10143,20.29611111,41.63416667,
10143,20.29833333,41.63583333,
10144,9.00555556,7.26611111,
10144,9.00666667,7.26305556,
10144,9.00666667,7.26305556,
10144,9.00666667,7.26305556,
10144,9.00666667,7.26305556,
10145,-36.06833333,146.97666667,
10145,-36.06777778,146.95805556,
10146,31.53222222,-84.19611111,
10146,31.53555556,-84.19444444,
10147,57.20416667,-2.19861111,
10147,57.20194444,-2.19777778,
10147,57.20250000,-2.19805556,
10147,57.20361111,-2.19916667,
10147,57.20194444,-2.19777778,
10147,57.20361111,-2.19916667,
10148,16.75555556,-99.76694444,
10148,16.75694444,-99.75388889,
10149,44.98472222,-85.19916667,
10149,44.98861111,-85.19833333,
10150,5.59527778,-0.17083333,
10150,5.60444444,-0.16750000,
10151,28.94250000,-13.60472222,
10151,28.94555556,-13.60527778,
10152,47.48527778,9.56000000,
10152,47.48500000,9.56000000,
10153,49.70694444,-2.21527778,
10153,49.70611111,-2.21472222,
10153,49.70666667,-2.21444444,
10153,49.70666667,-2.21472222,
10153,49.70611111,-2.21472222,
10153,49.70666667,-2.21472222,
10153,49.70694444,-2.21472222,
10154,41.25666667,-70.05972222,
